,year,hood_id,neighborhood,district,type,frequency
220,2013,80308,Gropiusstadt,Neukölln,robbery,209
221,2013,80409,Buckow Nord,Neukölln,robbery,117
222,2013,80410,Rudow,Neukölln,robbery,76
223,2013,90101,AltTreptow,TreptowKöpenick,robbery,406
224,2013,90102,Plänterwald,TreptowKöpenick,robbery,111
225,2013,90103,Baumschulenweg,TreptowKöpenick,robbery,120
226,2013,90104,Johannisthal,TreptowKöpenick,robbery,60
227,2013,90205,Oberschöneweide,TreptowKöpenick,robbery,117
228,2013,90206,Niederschöneweide,TreptowKöpenick,robbery,132
229,2013,90207,Adlershof,TreptowKöpenick,robbery,128
230,2013,90208,Köllnische Vorstadt/Spindlersfeld,TreptowKöpenick,robbery,66
231,2013,90309,Altglienicke,TreptowKöpenick,robbery,27
232,2013,90310,Bohnsdorf,TreptowKöpenick,robbery,50
233,2013,90311,Grünau,TreptowKöpenick,robbery,36
234,2013,90312,Schmöckwitz/Karolinenhof/Rauchfangswerder,TreptowKöpenick,robbery,25
235,2013,90413,KöpenickSüd,TreptowKöpenick,robbery,6
236,2013,90414,AllendeViertel,TreptowKöpenick,robbery,0
237,2013,90415,AltstadtKietz,TreptowKöpenick,robbery,101
238,2013,90416,Müggelheim,TreptowKöpenick,robbery,0
239,2013,90517,Friedrichshagen,TreptowKöpenick,robbery,57
240,2013,90518,Rahnsdorf/Hessenwinkel,TreptowKöpenick,robbery,22
241,2013,90519,Dammvorstadt,TreptowKöpenick,robbery,105
242,2013,90520,KöpenickNord,TreptowKöpenick,robbery,33
243,2013,100101,MarzahnNord,MarzahnHellersdorf,robbery,166
244,2013,100102,MarzahnMitte,MarzahnHellersdorf,robbery,178
245,2013,100103,MarzahnSüd,MarzahnHellersdorf,robbery,142
246,2013,100204,HellersdorfNord,MarzahnHellersdorf,robbery,183
247,2013,100205,HellersdorfOst,MarzahnHellersdorf,robbery,159
248,2013,100206,HellersdorfSüd,MarzahnHellersdorf,robbery,139
249,2013,100307,Biesdorf,MarzahnHellersdorf,robbery,39
250,2013,100408,Kaulsdorf,MarzahnHellersdorf,robbery,48
251,2013,100409,Mahlsdorf,MarzahnHellersdorf,robbery,33
252,2013,110101,"Malchow, Wartenberg und Falkenberg",Lichtenberg,robbery,47
253,2013,110102,NeuHohenschönhausen Nord,Lichtenberg,robbery,105
254,2013,110103,NeuHohenschönhausen Süd,Lichtenberg,robbery,124
255,2013,110204,AltHohenschönhausen Nord,Lichtenberg,robbery,96
256,2013,110205,AltHohenschönhausen Süd,Lichtenberg,robbery,105
257,2013,110306,Fennpfuhl,Lichtenberg,robbery,81
258,2013,110307,AltLichtenberg,Lichtenberg,robbery,148
259,2013,110308,Frankfurter Allee Süd,Lichtenberg,robbery,180
260,2013,110409,Neu Lichtenberg,Lichtenberg,robbery,113
261,2013,110410,Friedrichsfelde Nord,Lichtenberg,robbery,111
262,2013,110411,Friedrichsfelde Süd,Lichtenberg,robbery,102
263,2013,110512,Rummelsburger Bucht,Lichtenberg,robbery,181
264,2013,110513,Karlshorst,Lichtenberg,robbery,43
265,2013,121031,Ost 1  Reginhardstr.,Reinickendorf,robbery,146
266,2013,121032,Ost 2  AltReinickendorf,Reinickendorf,robbery,190
267,2013,122141,West 1  TegelSüd/Flughafensee,Reinickendorf,robbery,104
268,2013,122144,West 4  AugusteViktoriaAllee,Reinickendorf,robbery,177
269,2013,122145,West 5  Tegel/Tegeler Forst,Reinickendorf,robbery,223
270,2013,122242,West 2  Heiligensee/Konradshöhe,Reinickendorf,robbery,17
271,2013,122311,Nord 1  Frohnau/Hermsdorf,Reinickendorf,robbery,76
272,2013,123012,Nord 2  Waidmannslust/Wittenau/Lübars,Reinickendorf,robbery,151
273,2013,123021,MV 1  Märkisches Viertel,Reinickendorf,robbery,236
274,2013,123022,MV 2  Rollbergsiedlung,Reinickendorf,robbery,165
275,2013,123043,West 3  Borsigwalde/Freie Scholle,Reinickendorf,robbery,94
276,2014,10111,Tiergarten Süd,Mitte,robbery,544
277,2014,10112,Regierungsviertel,Mitte,robbery,533
278,2014,10113,Alexanderplatz,Mitte,robbery,412
279,2014,10114,Brunnenstraße Süd,Mitte,robbery,124
280,2014,10221,Moabit West,Mitte,robbery,173
281,2014,10222,Moabit Ost,Mitte,robbery,159
